customer_id,order_date,product_category,order_value,session_count,pages_viewed,device,payment_method,returned,discount_pct,age_group,region
10670,2023-12-22,Fashion,75.98,7,3,Desktop,UPI,0,0,25-34,South
1775,2023-10-11,Toys,46.26,6,8,Desktop,Debit Card,0,0,25-34,East
9226,2024-10-23,Toys,39.67,5,6,Mobile,Wallet,0,5,55+,South
4152,2023-08-23,Fashion,74.59,3,9,Desktop,COD,1,20,35-44,South
2585,2024-04-24,Home & Kitchen,64.78,5,6,Mobile,COD,0,0,35-44,East
4943,2023-01-14,Home & Kitchen,44.23,6,6,Tablet,Credit Card,0,10,35-44,North
8555,2023-05-18,Home & Kitchen,123.45,4,8,Tablet,Wallet,0,0,35-44,West
4073,2024-05-16,Fashion,81.13,5,4,Mobile,UPI,0,10,25-34,East
2021,2024-07-28,Electronics,133.11,6,3,Desktop,UPI,0,15,25-34,East
4843,2023-12-27,Electronics,110.14,7,8,Desktop,Debit Card,0,10,25-34,North
8989,2024-10-31,Electronics,287.17,4,11,Mobile,COD,0,25,25-34,North
10692,2023-08-26,Sports,44.67,5,13,Mobile,UPI,0,20,35-44,East
7873,2023-12-23,Fashion,65.45,3,7,Desktop,COD,0,0,18-24,West
6675,2023-05-31,Electronics,109.79,5,9,Mobile,Credit Card,1,5,35-44,Central
1161,2024-12-09,Books,16.71,2,11,Desktop,UPI,0,15,45-54,North
5297,2023-05-15,Electronics,104.99,4,4,Desktop,Credit Card,0,10,18-24,Central
1995,2024-02-27,Electronics,20.15,6,4,Mobile,Credit Card,0,10,35-44,South
8629,2023-02-21,Books,23.12,3,7,Desktop,Credit Card,0,10,25-34,North
10467,2024-03-18,Home & Kitchen,101.02,1,9,Mobile,Debit Card,1,20,25-34,North
2016,2024-01-09,Electronics,110.12,8,8,Desktop,Debit Card,0,0,45-54,East
8869,2024-02-12,Home & Kitchen,163.4,7,4,Desktop,UPI,0,0,35-44,West
7439,2023-09-27,Fashion,66.8,3,5,Mobile,COD,1,5,55+,West
8892,2023-06-17,Home & Kitchen,85.35,4,8,Mobile,UPI,0,25,25-34,South
7863,2024-10-02,Beauty,46.19,7,7,Mobile,Debit Card,1,10,45-54,North
8916,2023-10-25,Fashion,45.77,5,10,Tablet,Debit Card,0,0,25-34,South
9529,2023-07-31,Fashion,36.54,6,6,Mobile,Credit Card,0,25,25-34,North
1878,2023-08-27,Beauty,27.82,6,3,Mobile,Debit Card,0,15,25-34,North
10268,2024-11-22,Toys,27.37,6,2,Tablet,Debit Card,0,0,35-44,North
5887,2024-09-16,Sports,85.7,5,6,Mobile,UPI,0,0,35-44,South
5859,2024-09-03,Home & Kitchen,67.91,3,7,Mobile,Debit Card,0,0,45-54,North
7331,2023-09-25,Home & Kitchen,99.8,4,6,Mobile,Credit Card,0,0,35-44,East
9571,2024-06-27,Home & Kitchen,39.63,4,5,Desktop,Credit Card,0,0,25-34,South
9684,2024-10-16,Sports,51.96,5,6,Mobile,Wallet,0,10,18-24,South
8208,2023-09-22,Sports,50.06,6,5,Mobile,Wallet,0,10,18-24,South
6276,2023-03-14,Fashion,5.0,6,4,Mobile,Wallet,0,0,18-24,North
3062,2024-10-05,Electronics,122.52,4,9,Desktop,Credit Card,1,0,25-34,North
1064,2024-04-18,Fashion,35.1,5,4,Mobile,COD,0,20,45-54,West
9006,2023-10-07,Fashion,70.97,4,6,Mobile,UPI,0,0,35-44,West
3568,2023-06-06,Toys,45.26,4,9,Desktop,Debit Card,0,0,18-24,South
6463,2023-07-14,Fashion,26.39,5,4,Desktop,Credit Card,0,15,35-44,North
3027,2024-09-20,Electronics,135.27,6,7,Desktop,UPI,0,20,25-34,North
3695,2023-01-14,Sports,34.17,3,6,Desktop,UPI,0,0,55+,West
10687,2024-01-04,Electronics,169.47,3,6,Mobile,Wallet,0,0,45-54,North
6258,2024-06-09,Fashion,43.51,6,6,Mobile,COD,0,0,25-34,South
6618,2023-07-17,Fashion,47.18,3,10,Mobile,Debit Card,0,0,25-34,North
7736,2023-01-06,Home & Kitchen,73.06,7,7,Desktop,Credit Card,1,10,18-24,East
1391,2023-12-06,Fashion,66.86,2,6,Mobile,Debit Card,0,10,55+,West
6892,2023-09-25,Home & Kitchen,81.76,4,8,Tablet,Debit Card,0,15,18-24,South
4561,2024-11-26,Electronics,173.59,5,5,Mobile,UPI,0,15,35-44,Central
7184,2024-09-03,Home & Kitchen,103.0,4,6,Mobile,COD,0,5,25-34,West
4099,2023-04-05,Fashion,56.81,7,2,Desktop,Credit Card,0,25,25-34,East
7278,2024-10-28,Sports,41.0,4,10,Mobile,Wallet,0,10,18-24,West
9392,2024-09-22,Fashion,21.57,5,5,Mobile,UPI,0,15,25-34,South
4104,2024-12-21,Fashion,41.69,8,6,Desktop,Credit Card,1,10,55+,West
8215,2023-07-26,Home & Kitchen,87.2,4,7,Desktop,COD,0,15,45-54,West
3454,2024-07-02,Electronics,67.01,5,9,Mobile,Credit Card,0,10,55+,East
9996,2023-02-21,Electronics,214.43,2,7,Tablet,UPI,1,0,25-34,West
3731,2023-04-27,Beauty,23.19,3,9,Mobile,Credit Card,0,0,25-34,North
9154,2024-10-19,Fashion,57.29,4,9,Mobile,Credit Card,0,15,18-24,West
10762,2024-05-09,Books,31.81,6,3,Mobile,Credit Card,0,20,25-34,East
6056,2023-04-15,Electronics,139.07,5,10,Desktop,Debit Card,0,5,25-34,West
9110,2023-04-01,Sports,39.42,4,4,Mobile,Debit Card,0,0,18-24,South
4840,2023-05-16,Toys,5.0,5,10,Desktop,Credit Card,0,10,45-54,North
2028,2024-12-10,Fashion,69.75,6,7,Mobile,Credit Card,0,10,45-54,Central
8385,2023-12-07,Home & Kitchen,89.93,5,5,Mobile,Credit Card,0,15,35-44,South
1502,2023-03-18,Fashion,73.83,4,7,Mobile,Wallet,0,10,25-34,East
7910,2023-04-13,Sports,73.17,2,7,Tablet,UPI,0,10,25-34,East
10062,2024-03-08,Electronics,117.81,3,8,Desktop,Credit Card,0,0,25-34,North
7938,2023-01-06,Books,13.71,7,10,Tablet,Debit Card,0,0,45-54,South
5488,2023-09-23,Books,20.33,6,6,Desktop,Credit Card,0,10,35-44,North
1206,2023-06-10,Fashion,83.76,7,9,Mobile,Debit Card,0,10,18-24,West
6134,2024-08-29,Fashion,5.0,4,4,Mobile,COD,0,5,35-44,Central
6977,2024-11-03,Fashion,82.53,6,5,Mobile,Credit Card,0,0,25-34,West
8721,2023-01-12,Beauty,35.35,4,4,Mobile,Debit Card,0,20,45-54,South
8035,2023-07-07,Electronics,139.96,4,2,Mobile,COD,1,0,35-44,Central
2484,2024-08-16,Home & Kitchen,102.25,5,7,Tablet,UPI,0,10,55+,East
8858,2023-01-19,Fashion,55.9,10,9,Mobile,UPI,0,5,18-24,South
1863,2024-09-07,Fashion,65.42,4,6,Tablet,Wallet,0,25,35-44,North
3790,2023-11-07,Home & Kitchen,27.72,4,6,Mobile,COD,0,0,55+,East
8408,2023-05-05,Sports,62.23,5,10,Mobile,UPI,0,5,25-34,Central
9755,2024-12-06,Books,24.05,1,9,Mobile,UPI,0,10,55+,South
6116,2023-04-25,Beauty,33.73,3,7,Tablet,UPI,0,10,35-44,North
7019,2024-04-09,Books,17.35,4,8,Mobile,Wallet,0,10,18-24,South
2757,2023-07-31,Books,21.31,4,7,Mobile,UPI,0,10,35-44,South
8574,2024-03-12,Fashion,70.35,7,7,Desktop,Debit Card,0,15,35-44,East
7374,2023-01-21,Toys,56.3,4,10,Tablet,Wallet,0,15,25-34,North
7892,2023-10-14,Home & Kitchen,94.07,3,7,Desktop,Credit Card,0,25,18-24,East
2678,2024-05-10,Home & Kitchen,123.25,6,6,Mobile,Credit Card,1,10,45-54,West
4242,2024-10-31,Home & Kitchen,76.9,3,2,Mobile,Debit Card,0,15,35-44,North
5636,2024-03-20,Fashion,5.0,4,5,Mobile,Credit Card,0,0,18-24,West
2059,2023-04-15,Fashion,49.73,4,5,Mobile,UPI,0,25,18-24,Central
7668,2024-08-20,Electronics,101.4,2,8,Mobile,Debit Card,0,10,25-34,North
10914,2023-05-07,Beauty,38.99,6,8,Mobile,Debit Card,0,25,35-44,West
4157,2024-03-09,Fashion,52.29,6,8,Desktop,Credit Card,0,10,45-54,North
6915,2024-05-10,Fashion,66.32,5,6,Desktop,Debit Card,0,0,35-44,South
10789,2023-05-02,Sports,51.23,6,2,Mobile,COD,0,10,35-44,South
3693,2024-02-16,Home & Kitchen,86.9,5,8,Mobile,Wallet,0,0,25-34,West
4627,2024-05-10,Electronics,172.18,7,7,Mobile,UPI,1,5,18-24,South
10555,2023-06-02,Beauty,40.57,2,8,Mobile,UPI,1,25,25-34,South
6450,2023-04-27,Fashion,24.88,6,11,Mobile,Debit Card,1,5,25-34,East
2663,2024-07-27,Home & Kitchen,108.6,3,4,Mobile,Debit Card,0,10,55+,Central
10721,2023-07-29,Home & Kitchen,99.83,4,6,Mobile,Wallet,0,5,18-24,East
6592,2024-04-09,Fashion,55.41,5,8,Mobile,Debit Card,0,20,25-34,East
8392,2024-04-01,Electronics,41.33,7,9,Mobile,Credit Card,0,15,35-44,South
2306,2023-04-16,Fashion,67.25,4,7,Mobile,UPI,0,0,18-24,North
7776,2024-01-08,Electronics,118.33,8,5,Mobile,Credit Card,0,5,45-54,South
6864,2024-10-14,Fashion,46.81,7,8,Desktop,UPI,0,0,35-44,West
10474,2024-12-11,Toys,33.9,10,7,Desktop,UPI,0,0,25-34,South
8526,2023-06-08,Fashion,94.93,9,2,Mobile,UPI,0,0,18-24,Central
9901,2023-10-27,Sports,74.11,2,10,Mobile,Credit Card,1,20,25-34,South
6575,2023-08-25,Home & Kitchen,76.46,4,7,Mobile,COD,0,5,25-34,East
6530,2024-03-23,Books,15.83,7,7,Mobile,UPI,0,0,18-24,East
5413,2023-02-16,Electronics,151.87,5,9,Desktop,UPI,0,5,18-24,Central
4748,2024-09-30,Fashion,59.97,3,7,Tablet,UPI,0,15,35-44,South
1663,2024-05-13,Home & Kitchen,99.3,9,7,Mobile,Credit Card,0,20,35-44,South
2998,2024-01-09,Sports,55.12,4,7,Desktop,Debit Card,0,20,55+,West
8994,2023-11-22,Electronics,101.28,5,10,Mobile,UPI,0,10,55+,East
2495,2023-04-23,Home & Kitchen,65.83,10,8,Mobile,UPI,0,0,35-44,South
4304,2023-06-02,Electronics,144.78,7,4,Mobile,Credit Card,1,5,35-44,North
4763,2023-11-16,Home & Kitchen,79.32,1,8,Mobile,Debit Card,0,0,35-44,Central
6232,2024-10-08,Books,19.92,2,10,Desktop,Wallet,0,10,18-24,Central
2853,2023-05-18,Beauty,24.14,6,8,Desktop,UPI,0,0,35-44,North
7585,2023-10-31,Electronics,144.87,4,7,Mobile,Wallet,0,0,18-24,West
2291,2024-01-11,Electronics,191.02,5,5,Mobile,UPI,0,0,25-34,East
4581,2024-06-08,Home & Kitchen,120.71,7,4,Desktop,COD,0,25,25-34,West
8554,2024-12-09,Toys,48.78,4,9,Mobile,Credit Card,0,10,25-34,East
8280,2023-08-21,Fashion,58.54,5,5,Desktop,UPI,0,10,35-44,East
2636,2024-03-26,Fashion,56.2,7,8,Desktop,Credit Card,0,0,25-34,West
4696,2024-12-21,Fashion,89.83,10,4,Tablet,Debit Card,0,15,35-44,North
1698,2024-02-07,Electronics,143.41,6,4,Mobile,UPI,0,0,25-34,Central
5737,2023-08-15,Beauty,53.87,9,7,Desktop,Debit Card,0,15,25-34,Central
1854,2024-03-30,Fashion,59.3,4,6,Desktop,Wallet,0,0,35-44,South
9164,2024-02-21,Beauty,5.0,4,2,Mobile,Debit Card,1,15,55+,Central
6855,2023-09-20,Home & Kitchen,101.25,4,8,Desktop,Credit Card,0,10,18-24,South
8392,2023-05-02,Books,27.73,5,7,Tablet,UPI,0,0,18-24,West
7528,2024-03-24,Electronics,130.32,5,6,Desktop,UPI,1,5,45-54,East
6249,2023-04-02,Sports,37.6,9,7,Desktop,Debit Card,0,5,35-44,East
6172,2023-12-02,Fashion,96.52,3,6,Mobile,UPI,1,0,35-44,South
2707,2024-11-21,Books,18.83,4,9,Mobile,UPI,0,0,18-24,East
6791,2024-06-20,Beauty,34.5,5,7,Tablet,Credit Card,0,0,18-24,East
10925,2023-12-11,Home & Kitchen,94.36,5,5,Desktop,Debit Card,0,10,18-24,South
6535,2023-03-30,Fashion,125.67,4,7,Desktop,UPI,0,10,35-44,East
5931,2023-01-07,Toys,41.78,3,7,Desktop,UPI,0,0,55+,East
4510,2024-05-08,Fashion,64.28,7,7,Mobile,Debit Card,0,10,35-44,North
1202,2023-05-10,Toys,35.98,8,11,Desktop,Debit Card,0,0,35-44,South
5218,2023-02-25,Electronics,249.25,4,12,Mobile,Wallet,0,0,35-44,West
9958,2024-05-23,Fashion,72.66,6,9,Desktop,Credit Card,0,0,35-44,North
5389,2023-04-08,Electronics,201.83,1,8,Mobile,Wallet,0,10,25-34,West
3327,2024-12-04,Electronics,168.24,6,4,Mobile,UPI,0,20,35-44,North
9004,2023-09-27,Fashion,72.86,5,14,Mobile,Debit Card,0,10,45-54,North
3931,2024-07-19,Electronics,133.3,5,12,Mobile,Debit Card,0,10,25-34,South
8777,2023-04-14,Toys,37.37,6,5,Mobile,Wallet,0,10,25-34,South
1197,2023-08-05,Beauty,29.02,4,8,Desktop,Credit Card,0,0,35-44,South
8125,2024-05-15,Electronics,119.52,4,3,Desktop,Credit Card,1,5,18-24,South
2930,2024-07-31,Fashion,71.77,6,7,Mobile,Credit Card,0,0,55+,East
7287,2023-01-08,Books,14.37,4,6,Mobile,Debit Card,0,15,55+,West
9800,2024-04-19,Fashion,63.13,4,9,Desktop,Debit Card,0,10,18-24,East
10339,2024-12-18,Sports,59.71,5,6,Desktop,Wallet,0,25,35-44,East
5282,2023-11-16,Home & Kitchen,44.03,6,8,Tablet,Credit Card,0,20,18-24,West
3511,2024-04-30,Books,21.82,7,6,Tablet,Credit Card,0,15,35-44,West
10986,2024-01-08,Home & Kitchen,104.81,3,10,Mobile,Credit Card,1,10,25-34,Central
1659,2023-07-14,Books,9.48,9,7,Desktop,Credit Card,0,5,25-34,South
3811,2023-02-08,Fashion,74.61,5,10,Tablet,Credit Card,0,0,35-44,East
8098,2023-07-18,Fashion,33.24,4,6,Desktop,UPI,0,10,25-34,South
7546,2024-02-04,Electronics,231.33,10,6,Desktop,COD,1,5,18-24,South
10561,2024-10-20,Home & Kitchen,98.15,6,6,Mobile,UPI,0,10,25-34,West
2986,2023-07-08,Home & Kitchen,37.91,3,5,Desktop,Debit Card,0,10,25-34,South
9338,2023-07-30,Beauty,53.65,4,6,Desktop,Credit Card,0,20,25-34,Central
3911,2023-01-19,Fashion,45.28,4,15,Mobile,Wallet,0,10,55+,South
2734,2024-07-19,Fashion,36.83,5,5,Mobile,COD,0,20,35-44,West
2843,2023-11-18,Electronics,193.31,5,5,Mobile,Debit Card,1,10,18-24,North
9680,2023-05-26,Books,29.65,5,4,Desktop,COD,1,20,35-44,East
3976,2023-09-20,Sports,83.34,6,10,Desktop,UPI,0,5,35-44,West
2959,2024-04-05,Beauty,34.05,5,6,Tablet,COD,0,20,45-54,West
6759,2024-11-05,Toys,37.37,6,11,Mobile,Wallet,0,25,18-24,North
7694,2024-03-10,Toys,26.85,5,8,Mobile,UPI,1,5,45-54,North
3385,2024-10-23,Beauty,37.21,7,9,Mobile,Debit Card,0,15,25-34,East
5736,2023-12-30,Fashion,69.79,4,5,Desktop,Wallet,0,25,55+,South
2802,2024-09-09,Fashion,25.77,3,7,Mobile,Credit Card,0,0,18-24,South
9155,2024-01-29,Fashion,70.71,4,4,Desktop,Credit Card,0,10,55+,North
9120,2023-01-30,Toys,15.23,5,7,Mobile,UPI,0,10,25-34,West
7616,2024-11-19,Fashion,29.43,4,14,Desktop,UPI,0,0,18-24,South
6534,2024-04-23,Electronics,189.23,3,8,Tablet,Credit Card,0,5,25-34,East
5061,2024-12-20,Toys,23.18,5,11,Mobile,UPI,0,0,25-34,West
1262,2024-08-17,Fashion,36.21,6,5,Desktop,Debit Card,0,20,25-34,North
7287,2024-02-18,Books,17.64,1,6,Desktop,UPI,0,10,35-44,South
9815,2023-04-16,Beauty,30.54,4,10,Mobile,UPI,0,0,35-44,North
10208,2023-07-13,Sports,76.48,4,8,Mobile,Wallet,0,0,25-34,West
3049,2024-08-28,Sports,74.89,5,9,Desktop,Debit Card,0,0,18-24,South
6423,2023-03-02,Sports,42.4,1,6,Mobile,Credit Card,0,10,45-54,North
5548,2023-06-14,Books,6.31,6,7,Mobile,Wallet,0,15,45-54,South
4108,2024-04-16,Fashion,55.13,2,7,Mobile,Credit Card,0,10,25-34,North
8158,2023-12-12,Books,28.8,3,3,Mobile,UPI,0,0,18-24,Central
8400,2024-12-10,Sports,68.16,5,11,Desktop,Credit Card,0,0,18-24,North
4170,2024-08-04,Fashion,51.66,6,7,Desktop,UPI,0,5,25-34,North
10874,2023-07-30,Fashion,101.53,7,9,Mobile,Wallet,0,10,35-44,South
3255,2024-05-28,Fashion,78.06,8,9,Mobile,Debit Card,0,0,25-34,South
2154,2023-07-21,Home & Kitchen,24.72,3,7,Desktop,COD,0,0,25-34,North
5499,2024-06-10,Electronics,133.26,2,7,Mobile,Debit Card,0,15,35-44,South
7295,2023-07-16,Beauty,43.57,7,7,Mobile,UPI,0,0,18-24,East
7197,2023-02-17,Electronics,85.94,8,7,Mobile,Wallet,0,0,35-44,South
10888,2024-04-07,Electronics,132.43,4,3,Mobile,Debit Card,0,5,25-34,Central
2648,2024-04-08,Electronics,151.28,4,3,Mobile,Debit Card,0,10,25-34,East
6539,2024-02-18,Home & Kitchen,72.84,5,12,Mobile,Debit Card,0,0,35-44,South
10637,2023-06-13,Fashion,30.94,7,6,Desktop,UPI,1,0,25-34,West
5199,2023-05-10,Fashion,95.24,4,5,Desktop,Wallet,0,0,18-24,Central
9445,2024-02-05,Toys,38.74,4,4,Desktop,COD,0,10,35-44,South
3557,2023-06-16,Sports,45.94,7,3,Mobile,UPI,0,0,35-44,East
6592,2024-01-23,Sports,94.53,2,7,Desktop,UPI,0,10,18-24,Central
1098,2023-04-10,Home & Kitchen,77.41,4,9,Mobile,Credit Card,0,15,35-44,North
3200,2023-01-15,Sports,97.77,8,11,Mobile,Debit Card,0,0,18-24,North
3961,2023-06-07,Beauty,38.33,5,4,Tablet,Credit Card,0,0,55+,Central
5973,2023-11-30,Toys,14.33,4,4,Desktop,Credit Card,0,0,25-34,West
5433,2024-04-18,Electronics,85.97,6,6,Mobile,Credit Card,0,20,35-44,South
3869,2024-06-17,Electronics,218.46,1,7,Mobile,Credit Card,0,20,18-24,South
1956,2024-08-23,Electronics,211.97,2,10,Mobile,Credit Card,0,0,35-44,North
9352,2023-01-09,Toys,16.39,4,13,Desktop,Debit Card,0,5,18-24,North
6699,2023-07-27,Books,31.14,5,6,Mobile,Wallet,0,5,25-34,North
7944,2023-01-05,Fashion,84.62,2,7,Mobile,UPI,0,0,35-44,North
5493,2023-07-16,Home & Kitchen,59.71,5,10,Tablet,Credit Card,0,15,25-34,South
10492,2024-07-19,Sports,67.81,6,9,Mobile,UPI,0,10,35-44,South
5911,2024-06-16,Toys,5.0,7,6,Desktop,UPI,1,20,55+,East
4987,2024-08-25,Beauty,28.79,2,10,Tablet,UPI,1,10,35-44,South
10719,2024-03-17,Beauty,36.62,7,11,Mobile,Credit Card,0,20,35-44,South
7015,2023-10-07,Fashion,67.42,7,9,Desktop,UPI,0,10,45-54,North
2218,2024-01-01,Home & Kitchen,76.3,5,7,Tablet,COD,0,20,25-34,Central
5496,2023-08-26,Sports,73.88,2,6,Mobile,Wallet,0,0,35-44,West
5735,2024-10-24,Beauty,24.51,12,9,Mobile,Debit Card,0,0,25-34,Central
5555,2023-01-02,Books,22.59,5,4,Mobile,Credit Card,0,15,25-34,West
10146,2024-04-30,Electronics,250.99,2,3,Mobile,UPI,0,0,35-44,West
9050,2024-05-28,Electronics,176.37,5,11,Desktop,Credit Card,0,20,18-24,West
4446,2024-01-14,Electronics,152.03,1,8,Mobile,COD,0,5,25-34,South
2045,2023-04-24,Home & Kitchen,56.3,6,7,Desktop,UPI,1,15,25-34,West
7893,2023-02-21,Home & Kitchen,68.59,9,7,Mobile,UPI,0,5,35-44,South
2693,2024-03-08,Toys,16.63,6,6,Mobile,UPI,0,15,45-54,North
4436,2024-10-25,Books,8.43,1,4,Desktop,UPI,0,10,25-34,West
9754,2023-10-26,Fashion,58.32,4,5,Tablet,COD,0,10,18-24,South
6895,2023-05-10,Electronics,183.26,5,9,Mobile,Wallet,0,10,18-24,Central
4354,2024-03-15,Sports,46.04,6,3,Mobile,Credit Card,0,0,25-34,South
1225,2024-08-31,Home & Kitchen,118.26,7,9,Mobile,Debit Card,0,0,55+,North
5893,2023-06-20,Books,15.51,5,7,Mobile,COD,0,5,35-44,South
8022,2023-12-29,Home & Kitchen,77.12,6,4,Desktop,Credit Card,0,15,18-24,West
10151,2023-08-28,Electronics,206.73,7,4,Desktop,Wallet,1,0,18-24,West
6600,2024-07-02,Electronics,131.22,3,12,Desktop,UPI,0,10,18-24,West
8996,2023-11-29,Fashion,75.06,4,10,Desktop,Debit Card,0,0,25-34,South
10007,2024-07-08,Fashion,73.74,8,4,Mobile,Debit Card,0,15,18-24,West
8683,2023-06-14,Books,14.61,6,5,Mobile,Credit Card,0,0,35-44,North
5642,2023-09-12,Books,14.82,6,6,Desktop,Debit Card,0,0,35-44,South
8679,2023-07-31,Toys,52.11,11,5,Mobile,Credit Card,0,0,25-34,South
9208,2024-07-30,Sports,106.96,2,7,Desktop,Credit Card,0,5,35-44,South
8339,2024-04-16,Home & Kitchen,100.02,3,7,Desktop,Debit Card,0,20,25-34,West
10435,2024-04-30,Home & Kitchen,52.23,4,6,Mobile,Debit Card,0,10,35-44,South
3205,2024-12-04,Books,26.95,3,5,Desktop,Credit Card,0,0,25-34,East
2069,2023-11-01,Electronics,133.32,4,7,Mobile,Debit Card,0,15,25-34,North
4444,2023-10-03,Toys,17.24,7,8,Mobile,Credit Card,0,20,25-34,East
2060,2024-07-26,Home & Kitchen,59.63,6,6,Mobile,UPI,0,10,25-34,North
3327,2023-05-05,Sports,63.74,3,7,Mobile,Wallet,0,5,18-24,South
4420,2023-12-06,Toys,50.21,4,6,Desktop,Credit Card,1,0,18-24,Central
1301,2024-07-24,Home & Kitchen,54.32,4,5,Mobile,Credit Card,0,5,18-24,East
1606,2023-07-15,Electronics,92.05,4,5,Mobile,UPI,0,0,18-24,East
4170,2023-06-19,Home & Kitchen,64.55,2,7,Mobile,Credit Card,0,10,25-34,East
1699,2023-12-29,Home & Kitchen,76.1,7,3,Desktop,Credit Card,0,20,25-34,North
6088,2024-06-29,Beauty,50.77,1,5,Desktop,UPI,0,15,35-44,North
10331,2024-06-09,Electronics,184.23,10,7,Mobile,Wallet,0,0,18-24,North
1190,2023-04-30,Home & Kitchen,8.01,5,4,Tablet,Credit Card,0,0,25-34,West
1980,2023-05-22,Toys,30.02,5,2,Mobile,Credit Card,0,5,35-44,South
3975,2024-06-28,Toys,36.73,11,3,Mobile,Credit Card,1,10,18-24,East
7102,2024-01-28,Electronics,97.78,3,5,Mobile,UPI,0,0,25-34,South
2184,2023-08-20,Sports,48.15,9,6,Mobile,Credit Card,0,25,25-34,North
4327,2024-03-29,Electronics,187.47,4,10,Mobile,UPI,1,5,45-54,Central
